Nível;Indicador;2010;Unidade
12;Amostra - Religião;;
12.1;Pessoas de 10 anos ou mais de idade;;
12.1.1;Classe de rendimento;;
12.1.1.1;Sem rendimento;8370;pessoas
12.1.1.1.1;Religião;;
12.1.1.1.1.1;Sem religião;970;pessoas
12.1.1.1.1.2;Católica apostólica romana;3660;pessoas
12.1.1.1.1.3;Espírita;188;pessoas
12.1.1.1.1.4;Evangélica;3248;pessoas
12.1.1.1.1.4.1;Não determinada;379;pessoas
12.1.1.1.1.4.2;Missionária;606;pessoas
12.1.1.1.1.4.3;Pentecostal;2263;pessoas
12.1.1.1.1.5;Umbanda e Candomblé;27;pessoas
12.1.1.1.1.6;Outras religiosidades;260;pessoas
12.1.1.2;Até 1/8 de salário mínimo;1924;pessoas
12.1.1.2.1;Religião;;
12.1.1.2.1.1;Sem religião;493;pessoas
12.1.1.2.1.2;Católica apostólica romana;734;pessoas
12.1.1.2.1.3;Espírita;;pessoas
12.1.1.2.1.4;Evangélica;673;pessoas
12.1.1.2.1.4.1;Não determinada;70;pessoas
12.1.1.2.1.4.2;Missionária;159;pessoas
12.1.1.2.1.4.3;Pentecostal;444;pessoas
12.1.1.2.1.5;Umbanda e Candomblé;;pessoas
12.1.1.2.1.6;Outras religiosidades;24;pessoas
12.1.1.3;Mais de 1/8 a 1/4 de salário mínimo;7994;pessoas
12.1.1.3.1;Religião;;
12.1.1.3.1.1;Sem religião;1629;pessoas
12.1.1.3.1.2;Católica apostólica romana;3123;pessoas
12.1.1.3.1.3;Espírita;28;pessoas
12.1.1.3.1.4;Evangélica;3170;pessoas
12.1.1.3.1.4.1;Não determinada;406;pessoas
12.1.1.3.1.4.2;Missionária;475;pessoas
12.1.1.3.1.4.3;Pentecostal;2289;pessoas
12.1.1.3.1.5;Umbanda e Candomblé;;pessoas
12.1.1.3.1.6;Outras religiosidades;46;pessoas
12.1.1.4;Mais de 1/4 a 1/2 salário mínimo;37605;pessoas
12.1.1.4.1;Religião;;
12.1.1.4.1.1;Sem religião;6656;pessoas
12.1.1.4.1.2;Católica apostólica romana;14241;pessoas
12.1.1.4.1.3;Espírita;224;pessoas
12.1.1.4.1.4;Evangélica;15480;pessoas
12.1.1.4.1.4.1;Não determinada;1870;pessoas
12.1.1.4.1.4.2;Missionária;2856;pessoas
12.1.1.4.1.4.3;Pentecostal;10754;pessoas
12.1.1.4.1.5;Umbanda e Candomblé;19;pessoas
12.1.1.4.1.6;Outras religiosidades;918;pessoas
12.1.1.5;Mais de 1/2 a 1 salário mínimo;83299;pessoas
12.1.1.5.1;Religião;;
12.1.1.5.1.1;Sem religião;11039;pessoas
12.1.1.5.1.2;Católica apostólica romana;36459;pessoas
12.1.1.5.1.3;Espírita;412;pessoas
12.1.1.5.1.4;Evangélica;33208;pessoas
12.1.1.5.1.4.1;Não determinada;4221;pessoas
12.1.1.5.1.4.2;Missionária;7593;pessoas
12.1.1.5.1.4.3;Pentecostal;21394;pessoas
12.1.1.5.1.5;Umbanda e Candomblé;61;pessoas
12.1.1.5.1.6;Outras religiosidades;2050;pessoas
12.1.1.6;Mais de 1 a 2 salários mínimos;99314;pessoas
12.1.1.6.1;Religião;;
12.1.1.6.1.1;Sem religião;9682;pessoas
12.1.1.6.1.2;Católica apostólica romana;48790;pessoas
12.1.1.6.1.3;Espírita;1702;pessoas
12.1.1.6.1.4;Evangélica;36280;pessoas
12.1.1.6.1.4.1;Não determinada;6272;pessoas
12.1.1.6.1.4.2;Missionária;10174;pessoas
12.1.1.6.1.4.3;Pentecostal;19833;pessoas
12.1.1.6.1.5;Umbanda e Candomblé;245;pessoas
12.1.1.6.1.6;Outras religiosidades;2578;pessoas
12.1.1.7;Mais de 2 a 3 salários mínimos;42352;pessoas
12.1.1.7.1;Religião;;
12.1.1.7.1.1;Sem religião;3319;pessoas
12.1.1.7.1.2;Católica apostólica romana;22465;pessoas
12.1.1.7.1.3;Espírita;896;pessoas
12.1.1.7.1.4;Evangélica;14459;pessoas
12.1.1.7.1.4.1;Não determinada;2424;pessoas
12.1.1.7.1.4.2;Missionária;5197;pessoas
12.1.1.7.1.4.3;Pentecostal;6838;pessoas
12.1.1.7.1.5;Umbanda e Candomblé;82;pessoas
12.1.1.7.1.6;Outras religiosidades;1074;pessoas
12.1.1.8;Mais de 3 a 5 salários mínimos;38715;pessoas
12.1.1.8.1;Religião;;
12.1.1.8.1.1;Sem religião;2529;pessoas
12.1.1.8.1.2;Católica apostólica romana;23206;pessoas
12.1.1.8.1.3;Espírita;1334;pessoas
12.1.1.8.1.4;Evangélica;10513;pessoas
12.1.1.8.1.4.1;Não determinada;2113;pessoas
12.1.1.8.1.4.2;Missionária;4052;pessoas
12.1.1.8.1.4.3;Pentecostal;4348;pessoas
12.1.1.8.1.5;Umbanda e Candomblé;147;pessoas
12.1.1.8.1.6;Outras religiosidades;952;pessoas
12.1.1.9;Mais de 5 a 10 salários mínimos;26650;pessoas
12.1.1.9.1;Religião;;
12.1.1.9.1.1;Sem religião;1526;pessoas
12.1.1.9.1.2;Católica apostólica romana;17187;pessoas
12.1.1.9.1.3;Espírita;1300;pessoas
12.1.1.9.1.4;Evangélica;5867;pessoas
12.1.1.9.1.4.1;Não determinada;1487;pessoas
12.1.1.9.1.4.2;Missionária;2246;pessoas
12.1.1.9.1.4.3;Pentecostal;2134;pessoas
12.1.1.9.1.5;Umbanda e Candomblé;151;pessoas
12.1.1.9.1.6;Outras religiosidades;600;pessoas
12.1.1.10;Mais de 10 salários mínimos;11127;pessoas
12.1.1.10.1;Religião;;
12.1.1.10.1.1;Sem religião;1054;pessoas
12.1.1.10.1.2;Católica apostólica romana;6808;pessoas
12.1.1.10.1.3;Espírita;548;pessoas
12.1.1.10.1.4;Evangélica;2308;pessoas
12.1.1.10.1.4.1;Não determinada;671;pessoas
12.1.1.10.1.4.2;Missionária;1027;pessoas
12.1.1.10.1.4.3;Pentecostal;610;pessoas
12.1.1.10.1.5;Umbanda e Camdomblé;20;pessoas
12.1.1.10.1.6;Outras religiosidades;389;pessoas
12.1.2;Posição na ocupação;;
12.1.2.1;Conta própria;44056;pessoas
12.1.2.1.1;Religião;;
12.1.2.1.1.1;Sem religião;5139;pessoas
12.1.2.1.1.2;Católica apostólica romana;21732;pessoas
12.1.2.1.1.3;Espírita;979;pessoas
12.1.2.1.1.4;Evangélica;14740;pessoas
12.1.2.1.1.4.1;Não determinada;2408;pessoas
12.1.2.1.1.4.2;Missionária;3995;pessoas
12.1.2.1.1.4.3;Pentecostal;8338;pessoas
12.1.2.1.1.5;Umbanda e Candomblé;87;pessoas
12.1.2.1.1.6;Outras religiosidades;1339;pessoas
12.1.2.1.1.7;Não sabe;40;pessoas
12.1.2.1.1.8;Sem declaração;;pessoas
12.1.2.2;Empregadores;6952;pessoas
12.1.2.2.1;Religião;;
12.1.2.2.1.1;Sem religião;371;pessoas
12.1.2.2.1.2;Católica apostólica romana;4313;pessoas
12.1.2.2.1.3;Espírita;239;pessoas
12.1.2.2.1.4;Evangélica;1887;pessoas
12.1.2.2.1.4.1;Não determinada;545;pessoas
12.1.2.2.1.4.2;Missionária;563;pessoas
12.1.2.2.1.4.3;Pentecostal;778;pessoas
12.1.2.2.1.5;Umbanda e Candomblé;20;pessoas
12.1.2.2.1.6;Outras religiosidades;122;pessoas
12.1.2.2.1.7;Não sabe;;pessoas
12.1.2.2.1.8;Sem declaração;;pessoas
12.1.2.3;Empregados;151576;pessoas
12.1.2.3.1;Religião;;
12.1.2.3.1.1;Sem religião;18347;pessoas
12.1.2.3.1.2;Católica apostólica romana;74434;pessoas
12.1.2.3.1.3;Espírita;2652;pessoas
12.1.2.3.1.4;Evangélica;52140;pessoas
12.1.2.3.1.4.1;Não determinada;8401;pessoas
12.1.2.3.1.4.2;Missionária;14955;pessoas
12.1.2.3.1.4.3;Pentecostal;28784;pessoas
12.1.2.3.1.5;Umbanda e Candomblé;319;pessoas
12.1.2.3.1.6;Outras religiosidades;3543;pessoas
12.1.2.3.1.7;Não sabe;141;pessoas
12.1.2.3.1.8;Sem declaração;;pessoas
12.1.2.4;Não remunerados;1970;pessoas
12.1.2.4.1;Religião;;
12.1.2.4.1.1;Sem religião;126;pessoas
12.1.2.4.1.2;Católica apostólica romana;1006;pessoas
12.1.2.4.1.3;Espírita;17;pessoas
12.1.2.4.1.4;Evangélica;768;pessoas
12.1.2.4.1.4.1;Não determinada;87;pessoas
12.1.2.4.1.4.2;Missionária;322;pessoas
12.1.2.4.1.4.3;Pentecostal;360;pessoas
12.1.2.4.1.5;Umbanda e Candomblé;12;pessoas
12.1.2.4.1.6;Outras religiosidades;40;pessoas
12.1.2.4.1.7;Não sabe;;pessoas
12.1.2.4.1.8;Sem declaração;;pessoas
12.1.2.5;Trabalhadores na produção para o próprio consumo;342;pessoas
12.1.2.5.1;Religião;;
12.1.2.5.1.1;Sem religião;74;pessoas
12.1.2.5.1.2;Católica apostólica romana;152;pessoas
12.1.2.5.1.3;Espírita;;pessoas
12.1.2.5.1.4;Evangélica;104;pessoas
12.1.2.5.1.4.1;Não determinada;19;pessoas
12.1.2.5.1.4.2;Missionária;9;pessoas
12.1.2.5.1.4.3;Pentecostal;77;pessoas
12.1.2.5.1.5;Umbanda e Candomblé;11;pessoas
12.1.2.5.1.6;Outras religiosidades;;pessoas
12.1.2.5.1.7;Não sabe;;pessoas
12.1.2.5.1.8;Sem declaração;;pessoas
12.2;Pessoas de 25 anos ou mais de idade;;
12.2.1;Nível de instrução;;
12.2.1.1;Sem instrução ou fundamental incompleto;79656;pessoas
12.2.1.1.1;Religião;;
12.2.1.1.1.1;Sem religião;9420;pessoas
12.2.1.1.1.2;Católica apostólica romana;39839;pessoas
12.2.1.1.1.3;Espírita;507;pessoas
12.2.1.1.1.4;Evangélica;28003;pessoas
12.2.1.1.1.4.1;Não determinada;3593;pessoas
12.2.1.1.1.4.2;Missionária;5622;pessoas
12.2.1.1.1.4.3;Pentecostal;18788;pessoas
12.2.1.1.1.5;Umbanda e Candomblé;83;pessoas
12.2.1.1.1.6;Outras religiosidades;1754;pessoas
12.2.1.2;Fundamental completo ou médio incompleto;39461;pessoas
12.2.1.2.1;Religião;;
12.2.1.2.1.1;Sem religião;4641;pessoas
12.2.1.2.1.2;Católica apostólica romana;19158;pessoas
12.2.1.2.1.3;Espírita;496;pessoas
12.2.1.2.1.4;Evangélica;13955;pessoas
12.2.1.2.1.4.1;Não determinada;1927;pessoas
12.2.1.2.1.4.2;Missionária;3608;pessoas
12.2.1.2.1.4.3;Pentecostal;8420;pessoas
12.2.1.2.1.5;Umbanda e Candomblé;41;pessoas
12.2.1.2.1.6;Outras religiosidades;1163;pessoas
12.2.1.3;Médio completo ou superior incompleto;89503;pessoas
12.2.1.3.1;Religião;;
12.2.1.3.1.1;Sem religião;8000;pessoas
12.2.1.3.1.2;Católica apostólica romana;44955;pessoas
12.2.1.3.1.3;Espírita;2167;pessoas
12.2.1.3.1.4;Evangélica;31746;pessoas
12.2.1.3.1.4.1;Não determinada;5594;pessoas
12.2.1.3.1.4.2;Missionária;9859;pessoas
12.2.1.3.1.4.3;Pentecostal;16292;pessoas
12.2.1.3.1.5;Umbanda e Candomblé;273;pessoas
12.2.1.3.1.6;Outras religiosidades;2227;pessoas
12.2.1.4;Superior completo;47459;pessoas
12.2.1.4.1;Religião;;
12.2.1.4.1.1;Sem religião;3262;pessoas
12.2.1.4.1.2;Católica apostólica romana;28599;pessoas
12.2.1.4.1.3;Espírita;2224;pessoas
12.2.1.4.1.4;Evangélica;11904;pessoas
12.2.1.4.1.4.1;Não determinada;2883;pessoas
12.2.1.4.1.4.2;Missionária;4731;pessoas
12.2.1.4.1.4.3;Pentecostal;4291;pessoas
12.2.1.4.1.5;Umbanda e Candomblé;254;pessoas
12.2.1.4.1.6;Outras religiosidades;1177;pessoas
12.2.1.5;Não determinado;536;pessoas
12.2.1.5.1;Religião;;
12.2.1.5.1.1;Sem religião;18;pessoas
12.2.1.5.1.2;Católica apostólica romana;344;pessoas
12.2.1.5.1.3;Espírita;;pessoas
12.2.1.5.1.4;Evangélica;164;pessoas
12.2.1.5.1.4.1;Não determinada;56;pessoas
12.2.1.5.1.4.2;Missionária;31;pessoas
12.2.1.5.1.4.3;Pentecostal;77;pessoas
12.2.1.5.1.5;Umbanda e Candomblé;;pessoas
12.2.1.5.1.6;Outras religiosidades;11;pessoas
12.3;População residente;;
12.3.1;Cor ou raça;;
12.3.1.1;Amarela;3061;pessoas
12.3.1.1.1;Religião;;
12.3.1.1.1.1;Sem religião;527;pessoas
12.3.1.1.1.2;Católica apostólica romana;1132;pessoas
12.3.1.1.1.3;Espírita;19;pessoas
12.3.1.1.1.4;Evangélica;1216;pessoas
12.3.1.1.1.4.1;Não determinada;293;pessoas
12.3.1.1.1.4.2;Missionária;202;pessoas
12.3.1.1.1.4.3;Pentecostal;721;pessoas
12.3.1.1.1.5;Umbanda e Candomblé;;pessoas
12.3.1.1.1.6;Outras religiosidades;159;pessoas
12.3.1.2;Branca;181278;pessoas
12.3.1.2.1;Religião;;
12.3.1.2.1.1;Sem religião;15493;pessoas
12.3.1.2.1.2;Católica apostólica romana;98563;pessoas
12.3.1.2.1.3;Espírita;4581;pessoas
12.3.1.2.1.4;Evangélica;57382;pessoas
12.3.1.2.1.4.1;Não determinada;9768;pessoas
12.3.1.2.1.4.2;Missionária;17921;pessoas
12.3.1.2.1.4.3;Pentecostal;29694;pessoas
12.3.1.2.1.5;Umbanda e Candomblé;480;pessoas
12.3.1.2.1.6;Outras religiosidades;4592;pessoas
12.3.1.3;Indígena;896;pessoas
12.3.1.3.1;Religião;;
12.3.1.3.1.1;Sem religião;37;pessoas
12.3.1.3.1.2;Católica apostólica romana;424;pessoas
12.3.1.3.1.3;Espírita;19;pessoas
12.3.1.3.1.4;Evangélica;322;pessoas
12.3.1.3.1.4.1;Não determinada;50;pessoas
12.3.1.3.1.4.2;Missionária;86;pessoas
12.3.1.3.1.4.3;Pentecostal;185;pessoas
12.3.1.3.1.5;Umbanda e Candomblé;20;pessoas
12.3.1.3.1.6;Outras religiosidades;74;pessoas
12.3.1.4;Parda;195475;pessoas
12.3.1.4.1;Religião;;
12.3.1.4.1.1;Sem religião;24542;pessoas
12.3.1.4.1.2;Católica apostólica romana;86214;pessoas
12.3.1.4.1.3;Espírita;2380;pessoas
12.3.1.4.1.4;Evangélica;77321;pessoas
12.3.1.4.1.4.1;Não determinada;11555;pessoas
12.3.1.4.1.4.2;Missionária;18852;pessoas
12.3.1.4.1.4.3;Pentecostal;46915;pessoas
12.3.1.4.1.5;Umbanda e Candomblé;248;pessoas
12.3.1.4.1.6;Outras religiosidades;4636;pessoas
12.3.1.5;Preta;33859;pessoas
12.3.1.5.1;Religião;;
12.3.1.5.1.1;Sem religião;5419;pessoas
12.3.1.5.1.2;Católica apostólica romana;14618;pessoas
12.3.1.5.1.3;Espírita;274;pessoas
12.3.1.5.1.4;Evangélica;12605;pessoas
12.3.1.5.1.4.1;Não determinada;1847;pessoas
12.3.1.5.1.4.2;Missionária;2957;pessoas
12.3.1.5.1.4.3;Pentecostal;7801;pessoas
12.3.1.5.1.5;Umbanda e Candomblé;89;pessoas
12.3.1.5.1.6;Outras religiosidades;817;pessoas
12.3.1.6;Sem declaração;17;pessoas
12.3.1.6.1;Religião;;
12.3.1.6.1.1;Sem religião;;pessoas
12.3.1.6.1.2;Católica apostólica romana;;pessoas
12.3.1.6.1.3;Espírita;;pessoas
12.3.1.6.1.4;Evangélica;;pessoas
12.3.1.6.1.4.1;Não determinada;;pessoas
12.3.1.6.1.4.2;Missionária;;pessoas
12.3.1.6.1.4.3;Pentecostal;;pessoas
12.3.1.6.1.5;Umbanda e Candomblé;;pessoas
12.3.1.6.1.6;Outras religiosidades;;pessoas
12.3.2;Sexo;;
12.3.2.1;Masculino;199146;pessoas
12.3.2.1.1;Religião;;
12.3.2.1.1.1;Sem religião;27953;pessoas
12.3.2.1.1.2;Católica apostólica romana;97389;pessoas
12.3.2.1.1.3;Espírita;3081;pessoas
12.3.2.1.1.4;Evangélica;65328;pessoas
12.3.2.1.1.4.1;Não determinada;10338;pessoas
12.3.2.1.1.4.2;Missionária;17303;pessoas
12.3.2.1.1.4.3;Pentecostal;37687;pessoas
12.3.2.1.1.5;Umbanda e Candomblé;371;pessoas
12.3.2.1.1.6;Outras religiosidades;5020;pessoas
12.3.2.2;Feminino;215440;pessoas
12.3.2.2.1;Religião;;
12.3.2.2.1.1;Sem religião;18064;pessoas
12.3.2.2.1.2;Católica apostólica romana;103563;pessoas
12.3.2.2.1.3;Espírita;4193;pessoas
12.3.2.2.1.4;Evangélica;83518;pessoas
12.3.2.2.1.4.1;Não determinada;13175;pessoas
12.3.2.2.1.4.2;Missionária;22715;pessoas
12.3.2.2.1.4.3;Pentecostal;47629;pessoas
12.3.2.2.1.5;Umbanda e Candomblé;466;pessoas
12.3.2.2.1.6;Outras religiosidades;5624;pessoas
12.3.3;Religião;;
12.3.3.1;Sem religião;46017;pessoas
12.3.3.1.1;Agnóstico;284;pessoas
12.3.3.1.2;Ateu;1467;pessoas
12.3.3.1.3;Sem religião;44265;pessoas
12.3.3.2;Budismo;205;pessoas
12.3.3.3;Candomblé;119;pessoas
12.3.3.4;Católica apostólica brasileira;321;pessoas
12.3.3.5;Católica apostólica romana;200951;pessoas
12.3.3.6;Católica ortodoxa;124;pessoas
12.3.3.7;Espírita;7274;pessoas
12.3.3.8;Espiritualista;157;pessoas
12.3.3.9;Evangélica;148847;pessoas
12.3.3.9.1;Não determinada;23513;pessoas
12.3.3.9.2;Missionária;40018;pessoas
12.3.3.9.2.1;Adventista;6522;pessoas
12.3.3.9.2.2;Batista;23900;pessoas
12.3.3.9.2.3;Congregacional;131;pessoas
12.3.3.9.2.4;Luterana;2368;pessoas
12.3.3.9.2.5;Metodista;2226;pessoas
12.3.3.9.2.6;Presbiteriana;4862;pessoas
12.3.3.9.2.7;Outras;9;pessoas
12.3.3.9.3;Pentecostal;85316;pessoas
12.3.3.9.3.1;Comunidade evangélica;249;pessoas
12.3.3.9.3.2;Evangélica renovada não determinada;18;pessoas
12.3.3.9.3.3;Assembléia de Deus;37167;pessoas
12.3.3.9.3.4;Casa da bênção;169;pessoas
12.3.3.9.3.5;Congregação cristã do Brasil;966;pessoas
12.3.3.9.3.6;Deus é amor;3231;pessoas
12.3.3.9.3.7;Igreja do Evangelho Quadrangular;3161;pessoas
12.3.3.9.3.8;Maranata;25291;pessoas
12.3.3.9.3.9;Nova vida;255;pessoas
12.3.3.9.3.10;O Brasil para cristo;143;pessoas
12.3.3.9.3.11;Igreja universal do reino de deus;3262;pessoas
12.3.3.9.3.12;Outras;11403;pessoas
12.3.3.10;Hinduísmo;33;pessoas
12.3.3.11;Igreja de Jesus cristo dos Santos dos últimos dias;723;pessoas
